ICD10_Code,dx_name,N,oncotree_code,Confidence,Metastasis,ICD10 info,level_1,level_2,level_3,level_4,level_5
C61,Prostate cancer (CMS-HCC),254,PROSTATE,High,N,Malignant unspecified neoplasm,PROSTATE,,,,
C50.919,Breast cancer (CMS-HCC),140,BNNOS,Mid,N,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C18.9,Colon cancer (CMS-HCC),135,BOWEL,High,N,Malignant unspecified neoplasm,BOWEL,,,,
C61,Malignant neoplasm of prostate (CMS-HCC),128,PROSTATE,High,N,Malignant unspecified neoplasm,PROSTATE,,,,
C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum (CMS-HCC),106,NA,High,Y,Secondary malignant neoplasm,PERITONEUM,,,,
C20,Rectal cancer (CMS-HCC),102,COADREAD,Mid,N,Malignant neoplasm,BOWEL,COADREAD,,,
C78.6,Peritoneal carcinomatosis (CMS-HCC),94,PERITONEUM,High,N,Secondary malignant neoplasm,PERITONEUM,,,,
C80.1,Peritoneal carcinomatosis (CMS-HCC),94,PERITONEUM,High,N,Malignant unspecified neoplasm,PERITONEUM,,,,
C79.51,Bone metastases (CMS-HCC),88,NA,Low,Y,Secondary malignant neoplasm ,NA,,,,
C61,Prostate CA (CMS-HCC),83,PROSTATE,High,N,Malignant unspecified neoplasm,PROSTATE,,,,
C43.9,Melanoma (CMS-HCC),79,MEL,High,N,Malignant unspecified melanoma (skin),SKIN,MEL,,,
C67.9,Bladder cancer (CMS-HCC),76,BLADDER,High,N,Malignant unspecified neoplasm,BLADDER,,,,
C78.7,Secondary malignant neoplasm of liver (CMS-HCC),74,NA,High,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),NA,,,,
C18.1,Malignant neoplasm of appendix vermiformis (CMS-HCC),72,BOWEL,High,N,Malignant neoplasm,BOWEL,,,,
C73,Papillary thyroid carcinoma (CMS-HCC),70,THYROID,High,N,Malignant neoplasm,THYROID,,,,
C50.919,Malignant neoplasm of female breast (CMS-HCC),69,BNNOS,Mid,N,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C18.1,Cancer of appendix (CMS-HCC),68,BOWEL,High,N,Malignant neoplasm,BOWEL,,,,
C34.90,Lung cancer (CMS-HCC),68,LUNG,High,N,Malignant unspecified neoplasm (bronchus/lung),LUNG,,,,
C78.7,Liver metastases (CMS-HCC),66,NA,Low,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),NA,,,,
C79.51,Secondary malignant neoplasm of bone (CMS-HCC),65,NA,High,Y,Secondary malignant neoplasm,NA,,,,
C50.912,Breast cancer,64,BNNOS,Mid,N,Malignant unspecified neoplasm (left female breast),BREAST,BNNOS,,,
C54.1,Endometrial cancer (CMS-HCC),63,UCEC,Mid,N,Malignant neoplasm,UTERUS,UCEC,,,
C56.9,Ovarian cancer (CMS-HCC),63,OOVC,Mid,N,Malignant unspecified neoplasm,OVARY,OOVC,,,
C73,Thyroid cancer (CMS-HCC),63,THYROID,High,N,Malignant neoplasm,THYROID,,,,
C18.9,Colon cancer metastasized to liver (CMS-HCC),62,BOWEL,Low,Y,Malignant unspecified neoplasm (colon),BOWEL,,,,
C78.7,Colon cancer metastasized to liver (CMS-HCC),62,BOWEL,Low,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),NA,,,,
C78.6,Peritoneal metastases (CMS-HCC),58,NA,Low,Y,Secondary malignant neoplasm,NA,,,,
C50.911,Breast cancer,49,BNNOS,Mid,N,Malignant unspecified neoplasm (right female breast),BREAST,BNNOS,,,
C61,Malignant tumor of prostate (CMS-HCC),48,PROSTATE,High,N,Malignant neoplasm,PROSTATE,,,,
C25.9,Pancreatic cancer (CMS-HCC),44,PANCREAS,High,N,Malignant unspecified neoplasm,PANCREAS,,,,
C61,Prostate cancer metastatic to bone (CMS-HCC),42,PROSTATE,Low,Y,Malignant unspecified neoplasm (prostate),PROSTATE,,,,
C61,Prostate cancer metastatic to multiple sites (CMS-HCC),42,PROSTATE,Low,Y,Malignant unspecified neoplasm (prostate),PROSTATE,,,,
C79.51,Prostate cancer metastatic to bone (CMS-HCC),42,PROSTATE,Low,Y,Secondary malignant neoplasm (bone),PROSTATE,,,,
D49.6,Brain tumor (CMS-HCC),42,MBT,Mid,N,Unspecified behavior neoplasm,BRAIN,MBT,,,
C44.92,Squamous cell carcinoma,41,CSCC,Mid,N,Unspecified squamous cell carcinoma (skin),SKIN,CSCC,,,
C50.919,Malignant neoplasm of breast (CMS-HCC),41,BNNOS,Mid,N,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C79.31,Brain metastases (CMS-HCC),41,NA,Low,Y,Secondary malignant neoplasm,NA,,,,
C18.9,Metastatic colon cancer to liver (CMS-HCC),36,BOWEL,Low,Y,Malignant unspecified neoplasm (colon),BOWEL,,,,
C78.7,Metastatic colon cancer to liver (CMS-HCC),36,BOWEL,Low,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),BOWEL,,,,
K63.5,Colon polyp,36,NA,Low,Y,Colon polyp,NA,,,,
C16.9,Gastric cancer (CMS-HCC),35,STOMACH,High,N,Malignant unspecified neoplasm (stomach),STOMACH,,,,
C76.0,Head and neck cancer (CMS-HCC),35,HEAD_NECK,High,N,Malignant neoplasm (head/face/neck),HEAD_NECK,,,,
C18.9,Malignant neoplasm of colon,32,BOWEL,High,N,Malignant unspecified neoplasm,BOWEL,,,,
C50.412,Malignant neoplasm of upper-outer quadrant of left female breast (CMS-HCC),32,BNNOS,Mid,N,"Malignant neoplasm (upper-outer quadrant, left female breast)",BREAST,BNNOS,,,
C79.52,Secondary malignant neoplasm of bone marrow (CMS-HCC),32,MBN,Low,N,Secondary malignant neoplasm ,LYMPH,LNM,NHL,MBN,
C67.9,Malignant neoplasm of urinary bladder,31,BLADDER,High,N,Malignant unspecified neoplasm ,BLADDER,,,,
C77.5,Secondary malignant neoplasm of intrapelvic lymph nodes (CMS-HCC),28,NA,High,Y,Secondary unspecified malignant neoplasm,NA,,,,
C78.00,Lung metastases (CMS-HCC),28,NA,Low,Y,Secondary unspecified malignant neoplasm (lung),NA,,,,
C22.1,Cholangiocarcinoma (CMS-HCC),27,IHCH,High,N,Intrahepatic bile duct carcinoma,BILIARY_TRACT,CHOL,IHCH,,
C25.0,Malignant neoplasm of head of pancreas (CMS-HCC),27,PANCREAS,High,N,Malignant neoplasm,PANCREAS,,,,
C78.6,Pseudomyxoma peritonei (CMS-HCC),27,BOWEL,High,N,Secondary malignant neoplasm (retroperitoneum/peritoneum),BOWEL,,,,
C78.7,Liver metastasis (CMS-HCC),27,NA,Mid,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),NA,,,,
C02.9,Tongue cancer (CMS-HCC),26,HEAD_NECK,Mid,N,Malignant unspecified neoplasm,HEAD_NECK,,,,
C50.911,Malignant neoplasm of right female breast (CMS-HCC),26,BNNOS,Mid,N,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C50.912,Malignant neoplasm of left female breast (CMS-HCC),26,BNNOS,Mid,N,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C18.7,Malignant neoplasm of sigmoid colon (CMS-HCC),24,BOWEL,High,N,Malignant neoplasm,BOWEL,,,,
C20,Rectal cancer metastasized to liver (CMS-HCC),24,BOWEL,Low,Y,Malignant neoplasm (rectum),BOWEL,,,,
C25.9,Malignant neoplasm of pancreas,24,PANCREAS,High,N,Malignant unspecified neoplasm,PANCREAS,,,,
C78.7,Rectal cancer metastasized to liver (CMS-HCC),24,BOWEL,Low,Y,Secondary malignant neoplasm (liver/intrahepatic bile duct),BOWEL,,,,
C80.1,Cancer (CMS-HCC),24,CUPNOS,Mid,N,Malignant unspecified neoplasm (unknown location),OTHER,CUP,CUPNOS,,
D49.0,IPMN (intraductal papillary mucinous neoplasm),24,IPN,Mid,N,Unspecified behavior neoplasm (digestive system),BILIARY_TRACT,IPN,,,
C50.411,Malignant neoplasm of upper-outer quadrant of right female breast (CMS-HCC),23,BNNOS,Mid,N,"Malignant neoplasm (upper-outer quadrant, right female breast)",BREAST,BNNOS,,,
C64.9,Renal cell carcinoma (CMS-HCC),23,RCC,Mid,N,Malignant unspecified neoplasm (except renal pelvis),KIDNEY,RCC,,,
C78.00,Secondary malignant neoplasm of lung (CMS-HCC),23,LUNG,High,N,Secondary unspecified malignant neoplasm,LUNG,,,,
C15.9,Esophageal cancer (CMS-HCC),22,STOMACH,High,N,Malignant unspecified neoplasm,STOMACH,,,,
K63.5,Colon polyps,22,BOWEL,Low,N,Colon polyp,BOWEL,,,,
C01,Squamous cell carcinoma of base of tongue (CMS-HCC),21,OCSC,Low,N,Malignat neoplasm (base of tongue),HEAD_NECK,HNSC,OCSC,,
C18.9,Malignant tumor of colon (CMS-HCC),21,BOWEL,High,N,Malignant unspecified neoplasm,BOWEL,,,,
C34.90,Malignant neoplasm of lung,21,LUNG,High,N,Malignant unspecified neoplasm (bronchus/lung),LUNG,,,,
D12.6,Colon adenoma,21,NA,Mid,N,Benign unspecified neoplasm,NA,,,,
C50.919,Metastatic breast cancer (CMS-HCC),20,BNNOS,Mid,Y,Malignant unspecified neoplasm,BREAST,BNNOS,,,
C54.1,Endometrial adenocarcinoma (CMS-HCC),20,UCEC,Mid,N,Malignant neoplasm,UTERUS,UCEC,,,
C80.1,Adenocarcinoma (CMS-HCC),20,ADNOS,Mid,N,Malignant unspecified neoplasm (unknown location),OTHER,CUP,ADNOS,,
D32.9,Meningioma (CMS-HCC),20,MNG,Mid,N,Benign unspecified neoplasm ,BRAIN,MNGT,MNG,,
C18.1,Cancer of appendix vermiformis (CMS-HCC),19,,,,,,,,,
C22.0,Hepatocellular carcinoma (CMS-HCC),19,,,,,,,,,
C49.A2,Malignant gastrointestinal stromal tumor (GIST) of stomach (CMS-HCC),19,,,,,,,,,
D25.9,Uterine leiomyoma,19,,,,,,,,,
C34.90,Malignant neoplasm of lung (CMS-HCC),18,,,,,,,,,
C50.811,Malignant neoplasm of overlapping sites of right breast in female,18,,,,,,,,,
C50.919,Breast CA (CMS-HCC),18,,,,,,,,,
C53.9,Cervical cancer (CMS-HCC),18,,,,,,,,,
C77.9,Cancer of lymph nodes,18,,,,,,,,,
C77.9,Secondary melanoma of lymph node (CMS-HCC),18,,,,,,,,,
C79.9,Metastatic melanoma (CMS-HCC),18,,,,,,,,,
D05.12,Ductal carcinoma in situ (DCIS) of left breast,18,,,,,,,,,
D37.3,Low grade mucinous neoplasm of appendix,18,,,,,,,,,
C06.9,Oral cancer (CMS-HCC),17,,,,,,,,,
C19,Colorectal cancer (CMS-HCC),17,,,,,,,,,
C62.90,Testicular cancer (CMS-HCC),17,,,,,,,,,
C78.00,Malignant neoplasm metastatic to lung,17,,,,,,,,,
C79.51,Metastasis to bone (CMS-HCC),17,,,,,,,,,
D12.6,Tubular adenoma of colon,17,,,,,,,,,
C01,Cancer of base of tongue (CMS-HCC),16,,,,,,,,,
C10.9,Squamous cell carcinoma of oropharynx (CMS-HCC),16,,,,,,,,,
C50.812,Malignant neoplasm of overlapping sites of left breast in female,16,,,,,,,,,
